Student name,Grade level,Advisor,Email
"Ashford, Haven",12,Gagnon,student0469@example.edu
"Ingram, Oakley",9,Ziegler,student0307@example.edu
"Vance, Shiloh",11,Ziegler,student0558@example.edu
"Emerling, Jules",11,Dumont,student0108@example.edu
"Fenwick, Indie",12,Hartley,student0430@example.edu
"Whitfield, Toby",9,Adair,student0007@example.edu
"Quintero, Noel",11,Ziegler,student0459@example.edu
"Renwick, Quinn",10,Jelinek,student0379@example.edu
"Dunmore, Indie",10,Jelinek,student0008@example.edu
"Jacoby, Shiloh",11,Kalman,student0552@example.edu
"Jarvis, Devon",10,Gorski,student0009@example.edu
"Grimshaw, Dakota",12,Kalman,student0167@example.edu
"Sterling, Quinn",11,Lindgren,student0343@example.edu
"Alden, Emerson",9,Langford,student0010@example.edu
"Yates, Reese",12,Gagnon,student0313@example.edu
"Radcliffe, Shiloh",9,Gorski,student0085@example.edu
"Yates, Ashby",12,Hartley,student0109@example.edu
"Mendel, Cameron",9,Gagnon,student0237@example.edu
"Fenwick, Eden",11,Dumont,student0168@example.edu
"Sterling, Fallon",9,Dumont,student0431@example.edu
"Abernathy, Presley",9,Abbott,student0110@example.edu
"Fenwick, Bellamy",11,Jorstad,student0258@example.edu
"Yates, Rowan",10,Gorski,student0169@example.edu
"Nakamura, Kai",11,Jorstad,student0538@example.edu
"Grimshaw, Kendall",10,Gorski,student0011@example.edu
"Quill, Emerson",12,Tanaka,student0012@example.edu
"Ingram, Blair",9,Beaulieu,student0344@example.edu
"Larkspur, Quincy",11,Jorstad,student0460@example.edu
"Ibarra, Marlowe",11,Novak,student0170@example.edu
"Ellison, Remy",10,Gorski,student0279@example.edu
"Kirkland, Bellamy",11,Lindgren,student0437@example.edu
"Iversen, Eden",11,Jorstad,student0461@example.edu
"Everhart, Kendall",9,Jelinek,student0140@example.edu
"Lindqvist, Quinn",10,Tanaka,student0013@example.edu
"Tremaine, Jordan",12,Hartley,student0111@example.edu
"Jarvis, Sawyer",9,Abbott,student0112@example.edu
"Renwick, Remy",11,Whitcomb,student0462@example.edu
"Holloway, Kip",9,Lindgren,student0476@example.edu
"Castillo, Shiloh",11,Voss,student0113@example.edu
"Dashwood, Quincy",11,Bianchi,student0290@example.edu
"Dunmore, Kip",10,Abbott,student0014@example.edu
"Radcliffe, Noel",12,Sabbagh,student0309@example.edu
"Dashwood, Cameron",9,Esparza,student0432@example.edu
"Norwood, Ellis",11,Yost,student0454@example.edu
"Bellweather, Reese",11,Ziegler,student0141@example.edu
"Prentice, Val",11,Yost,student0194@example.edu
"Xander, Ellis",11,Novak,student0550@example.edu
"Farraday, Ashby",10,Tanaka,student0345@example.edu
"Yalow, Val",9,Ziegler,student0221@example.edu
"Croft, Kip",9,Beaulieu,student0380@example.edu
"Holloway, Casey",11,Jelinek,student0114@example.edu
"Falkner, Blair",12,Bianchi,student0238@example.edu
"Alden, Indie",9,Lindgren,student0171@example.edu
"Marchetti, Marlowe",9,Voss,student0381@example.edu
"Hollis, Eden",9,Abbott,student0524@example.edu
"Larkspur, Frankie",9,Lindgren,student0407@example.edu
"Jansen, Jules",11,Lindgren,student0015@example.edu
"Grover, Ashby",10,Hartley,student0382@example.edu
"Thackeray, Ira",11,Lindgren,student0086@example.edu
"Ellison, Presley",12,Sabbagh,student0463@example.edu
"Renwick, Toby",12,Tanaka,student0173@example.edu
"Ashford, Bellamy",11,Whitcomb,student0420@example.edu
"Abernathy, Emerson",11,Rundgren,student0310@example.edu
"Delgado, Micah",9,Sabbagh,student0539@example.edu
"Vasquez, Elliot",10,Abbott,student0526@example.edu
"Nakamura, Jordan",9,Ziegler,student0115@example.edu
"Okafor, Eden",10,Esparza,student0383@example.edu
"Vasquez, Ellis",11,Beaulieu,student0384@example.edu
"Falkner, Fallon",9,Espinoza,student0142@example.edu
"Quintero, Cameron",12,Tanaka,student0385@example.edu
"Grimshaw, Oakley",10,Voss,student0201@example.edu
"Mendel, Toby",9,Yost,student0346@example.edu
"Fenwick, Kendall",12,Underwood,student0195@example.edu
"Ibarra, Dakota",10,Voss,student0464@example.edu
"Pemberton, Jules",12,Guerra,student0559@example.edu
"Castillo, Greer",11,Whitcomb,student0465@example.edu
"Dashwood, Bellamy",10,Sabbagh,student0386@example.edu
"Abernathy, Marlowe",9,Bianchi,student0017@example.edu
"Nakamura, Fallon",10,Gorski,student0347@example.edu
"Norwood, Jordan",10,Tanaka,student0018@example.edu
"Jarvis, Fallon",9,Fournier,student0433@example.edu
"Alden, Remy",11,Jelinek,student0348@example.edu
"Grover, Presley",12,Bianchi,student0540@example.edu
"Croft, Ellis",10,Hartley,student0174@example.edu
"Renwick, Cameron",10,Sabbagh,student0259@example.edu
"Osei, Jael",9,Guerra,student0414@example.edu
"Ashford, Toby",11,Whitcomb,student0280@example.edu
"Whitfield, Ryder",12,Tanaka,student0466@example.edu
"Ashford, Shiloh",9,Fournier,student0019@example.edu
"Sterling, Dallas",9,Tanaka,student0434@example.edu
"Grover, Marlowe",12,Jelinek,student0021@example.edu
"Lindqvist, Micah",10,Jorstad,student0145@example.edu
"Ashford, Emerson",12,Gorski,student0260@example.edu
"Ellison, Eden",9,Voss,student0349@example.edu
"Fenwick, Marlowe",11,Fitzhenry,student0467@example.edu
"Falkner, Marlowe",10,Rundgren,student0311@example.edu
"Ibarra, Noel",9,Zellner,student0435@example.edu
"Jacoby, Quinn",11,Lindgren,student0468@example.edu
"Whitfield, Noel",12,Jelinek,student0560@example.edu
"Hutton, Kendall",10,Jorstad,student0022@example.edu
"Castillo, Kai",10,Jelinek,student0117@example.edu
"Ibarra, Micah",12,Yeboah,student0253@example.edu
"Bellweather, Oakley",10,Jorstad,student0175@example.edu
"Gallo, Toby",10,Jorstad,student0118@example.edu
"Radcliffe, Dakota",10,Sabbagh,student0222@example.edu
"Thackeray, Ryder",11,Guerra,student0023@example.edu
"Whitfield, Lior",10,Dumont,student0087@example.edu
"Zamora, Cameron",9,Tanaka,student0024@example.edu
"Falkner, Eden",12,Yeboah,student0261@example.edu
"Okafor, Blair",9,Novak,student0350@example.edu
"Yates, Jamie",9,Gorski,student0177@example.edu
"Hutton, Elliot",9,Voss,student0436@example.edu
"Radcliffe, Oakley",11,Dumont,student0282@example.edu
"Farraday, Marlowe",10,Voss,student0408@example.edu
"Iversen, Bellamy",12,Adair,student0223@example.edu
"Ashford, Dallas",12,Adair,student0146@example.edu
"Osei, Oakley",9,Jelinek,student0178@example.edu
"Osei, Adrian",12,Yeboah,student0541@example.edu
"Grover, Devon",12,Lindgren,student0202@example.edu
"Abernathy, Indie",10,Sabbagh,student0147@example.edu
"Croft, Ryder",10,Tanaka,student0262@example.edu
"Hollis, Shiloh",9,Zellner,student0312@example.edu
"Quintero, Adrian",12,Novak,student0071@example.edu
"Quintero, Marlowe",12,Lindgren,student0370@example.edu
"Ellison, Adrian",9,Novak,student0119@example.edu
"Whitfield, Devon",11,Rundgren,student0196@example.edu
"Mendel, Greer",9,Adair,student0527@example.edu
"Jansen, Reese",9,Novak,student0025@example.edu
"Alden, Harper",12,Adair,student0026@example.edu
"Winslow, Sawyer",9,Zellner,student0283@example.edu
"Nakamura, Quincy",9,Kalman,student0148@example.edu
"Winslow, Blair",11,Rundgren,student0027@example.edu
"Gallo, Noel",9,Zellner,student0028@example.edu
"Iversen, Kai",12,Lindgren,student0387@example.edu
"Winslow, Elliot",12,Gorski,student0542@example.edu
"Fenwick, Blair",10,Kalman,student0203@example.edu
"Renwick, Devon",9,Whitcomb,student0471@example.edu
"Jacoby, Remy",10,Gorski,student0239@example.edu
"Bellweather, Cameron",11,Rundgren,student0415@example.edu
"Ibarra, Quincy",12,Espinoza,student0240@example.edu
"Falkner, Micah",11,Rundgren,student0120@example.edu
"Jacoby, Marlowe",10,Tanaka,student0314@example.edu
"Okafor, Elliot",12,Espinoza,student0179@example.edu
"Dunmore, Blair",10,Beaulieu,student0351@example.edu
"Quintero, Lior",10,Sabbagh,student0352@example.edu
"Vasquez, Adrian",11,Guerra,student0149@example.edu
"Underhill, Kai",12,Gorski,student0029@example.edu
"Iversen, Rowan",10,Yeboah,student0315@example.edu
"Farraday, Lior",9,Novak,student0241@example.edu
"Ibarra, Fallon",11,Guerra,student0059@example.edu
"Grimshaw, Rowan",12,Gorski,student0030@example.edu
"Hollis, Toby",9,Yeboah,student0242@example.edu
"Norwood, Lior",9,Hartley,student0316@example.edu
"Lindqvist, Reese",11,Jelinek,student0472@example.edu
"Ashford, Devon",10,Yeboah,student0510@example.edu
"Quill, Shiloh",12,Beaulieu,student0353@example.edu
"Abernathy, Cameron",12,Beaulieu,student0185@example.edu
"Gallo, Lior",12,Beaulieu,student0409@example.edu
"Quintero, Tatum",12,Novak,student0543@example.edu
"Underhill, Quincy",10,Beaulieu,student0528@example.edu
"Alden, Ryder",11,Lindgren,student0150@example.edu
"Delgado, Greer",11,Nazario,student0031@example.edu
"Zamora, Dakota",11,Abbott,student0473@example.edu
"Sterling, Jules",11,Abbott,student0511@example.edu
"Lindqvist, Sage",10,Beaulieu,student0354@example.edu
"Ibarra, Jordan",12,Adair,student0121@example.edu
"Ellison, Elliot",10,Tanaka,student0204@example.edu
"Dunmore, Casey",10,Tanaka,student0285@example.edu
"Gallo, Reese",9,Yeboah,student0151@example.edu
"Castillo, Jamie",9,Lindgren,student0089@example.edu
"Xander, Blair",12,Adair,student0205@example.edu
"Corbin, Quincy",12,Novak,student0438@example.edu
"Ibarra, Frankie",10,Gagnon,student0439@example.edu
"Xander, Devon",11,Guerra,student0512@example.edu
"Renwick, Jordan",10,Sabbagh,student0317@example.edu
"Dashwood, Jordan",12,Novak,student0090@example.edu
"Ibarra, Eden",12,Zellner,student0032@example.edu
"Thackeray, Presley",10,Bianchi,student0286@example.edu
"Gallo, Skyler",11,Espinoza,student0474@example.edu
"Everhart, Kip",11,Nazario,student0529@example.edu
"Ulloa, Kip",9,Novak,student0033@example.edu
"Lindqvist, Jordan",9,Yeboah,student0180@example.edu
"Fenwick, Quinn",12,Zellner,student0561@example.edu
"Lindqvist, Blair",11,Gagnon,student0355@example.edu
"Sterling, Jael",10,Zellner,student0034@example.edu
"Radcliffe, Blair",12,Zellner,student0035@example.edu
"Ashford, Adrian",9,Adair,student0416@example.edu
"Bellweather, Fallon",10,Nazario,student0544@example.edu
"Castillo, Lior",11,Gorski,student0265@example.edu
"Jansen, Ryder",9,Lindgren,student0289@example.edu
"Yalow, Indie",10,Nazario,student0475@example.edu
"Winslow, Jael",11,Gagnon,student0318@example.edu
"Jacoby, Elliot",12,Jorstad,student0152@example.edu
"Zamora, Lennox",11,Espinoza,student0206@example.edu
"Ulloa, Fallon",9,Adair,student0036@example.edu
"Croft, Jael",11,Sabbagh,student0356@example.edu
"Fenwick, Presley",11,Voss,student0477@example.edu
"Dunmore, Ryder",9,Adair,student0122@example.edu
"Sorensen, Bellamy",12,Zellner,student0016@example.edu
"Whitfield, Remy",9,Espinoza,student0172@example.edu
"Whitfield, Ellis",10,Ziegler,student0243@example.edu
"Delgado, Remy",12,Jorstad,student0308@example.edu
"Nakamura, Devon",12,Espinoza,student0372@example.edu
"Renwick, Presley",9,Sabbagh,student0470@example.edu
"Tremaine, Quinn",10,Zellner,student0562@example.edu
"Emerling, Ryder",11,Yost,student0153@example.edu
"Okafor, Haven",12,Jorstad,student0225@example.edu
"Dashwood, Lennox",12,Nazario,student0154@example.edu
"Croft, Jordan",10,Nazario,student0513@example.edu
"Dunmore, Kendall",11,Abbott,student0530@example.edu
"Jacoby, Haven",9,Zellner,student0388@example.edu
"Ashford, Jules",10,Underwood,student0091@example.edu
"Quintero, Quinn",12,Jorstad,student0440@example.edu
"Sorensen, Frankie",9,Zellner,student0389@example.edu
"Quintero, Val",11,Nazario,student0287@example.edu
"Yates, Bellamy",12,Jorstad,student0181@example.edu
"Yalow, Jamie",9,Hartley,student0037@example.edu
"Zamora, Elliot",10,Quezada,student0288@example.edu
"Delgado, Kai",12,Nazario,student0038@example.edu
"Nakamura, Presley",9,Whitcomb,student0244@example.edu
"Fenwick, Ira",11,Nazario,student0143@example.edu
"Norwood, Corin",11,Espinoza,student0441@example.edu
"Lindqvist, Skyler",12,Nazario,student0320@example.edu
"Everhart, Lennox",10,Bianchi,student0357@example.edu
"Zamora, Jael",12,Nazario,student0390@example.edu
"Underhill, Frankie",10,Underwood,student0321@example.edu
"Delgado, Indie",9,Bianchi,student0478@example.edu
"Emerling, Ashby",10,Yeboah,student0391@example.edu
"Everhart, Tatum",12,Nazario,student0358@example.edu
"Croft, Blair",10,Yeboah,student0392@example.edu
"Thackeray, Marlowe",12,Nazario,student0266@example.edu
"Osei, Corin",12,Quezada,student0039@example.edu
"Ulloa, Ryder",12,Quezada,student0531@example.edu
"Lindqvist, Haven",9,Bianchi,student0092@example.edu
"Vasquez, Jules",10,Adair,student0323@example.edu
"Lindqvist, Ellis",11,Fournier,student0393@example.edu
"Pemberton, Dakota",12,Yost,student0368@example.edu
"Grover, Kendall",9,Rundgren,student0155@example.edu
"Zamora, Micah",10,Adair,student0359@example.edu
"Yalow, Dallas",10,Underwood,student0123@example.edu
"Abernathy, Dakota",9,Espinoza,student0394@example.edu
"Dunmore, Cameron",9,Nazario,student0207@example.edu
"Renwick, Blair",11,Tanaka,student0208@example.edu
"Yalow, Tatum",12,Quezada,student0002@example.edu
"Thackeray, Kendall",9,Espinoza,student0041@example.edu
"Hollis, Lennox",9,Nazario,student0156@example.edu
"Sterling, Skyler",11,Abbott,student0176@example.edu
"Fenwick, Tatum",9,Quezada,student0264@example.edu
"Jarvis, Lior",9,Underwood,student0182@example.edu
"Ulloa, Jordan",11,Hartley,student0272@example.edu
"Jacoby, Cameron",12,Quezada,student0563@example.edu
"Iversen, Oakley",11,Fournier,student0209@example.edu
"Whitfield, Presley",9,Fitzhenry,student0267@example.edu
"Norwood, Dakota",11,Fournier,student0183@example.edu
"Vance, Harper",9,Whitcomb,student0479@example.edu
"Falkner, Presley",11,Tanaka,student0042@example.edu
"Ingram, Haven",9,Nazario,student0093@example.edu
"Whitfield, Blair",12,Quezada,student0442@example.edu
"Sterling, Quincy",11,Tanaka,student0219@example.edu
"Kirkland, Casey",12,Quezada,student0291@example.edu
"Winslow, Cameron",10,Adair,student0124@example.edu
"Jacoby, Emerson",9,Whitcomb,student0043@example.edu
"Dunmore, Haven",12,Yost,student0255@example.edu
"Ellison, Jordan",10,Hendrickx,student0245@example.edu
"Iversen, Greer",10,Espinoza,student0226@example.edu
"Tremaine, Rowan",12,Underwood,student0417@example.edu
"Vasquez, Tatum",9,Yeboah,student0532@example.edu
"Sorensen, Reese",10,Espinoza,student0094@example.edu
"Grimshaw, Kai",12,Yost,student0044@example.edu
"Quill, Kendall",10,Espinoza,student0514@example.edu
"Fenwick, Jordan",9,Yeboah,student0501@example.edu
"Dashwood, Marlowe",10,Weatherby,student0184@example.edu
"Farraday, Ellis",12,Underwood,student0062@example.edu
"Yates, Val",10,Bianchi,student0157@example.edu
"Ellison, Shiloh",11,Hartley,student0095@example.edu
"Holloway, Cameron",10,Rundgren,student0395@example.edu
"Holloway, Shiloh",9,Adair,student0396@example.edu
"Winslow, Eden",11,Gagnon,student0481@example.edu
"Dashwood, Frankie",11,Gagnon,student0443@example.edu
"Lindqvist, Oakley",11,Fournier,student0045@example.edu
"Lindqvist, Jael",10,Weatherby,student0246@example.edu
"Okafor, Bellamy",11,Guerra,student0096@example.edu
"Emerling, Fallon",10,Whitcomb,student0076@example.edu
"Abernathy, Micah",9,Quezada,student0046@example.edu
"Falkner, Dakota",9,Bianchi,student0210@example.edu
"Dashwood, Ira",10,Underwood,student0482@example.edu
"Hutton, Remy",11,Zellner,student0361@example.edu
"Osei, Rowan",9,Quezada,student0247@example.edu
"Kirkland, Lior",12,Underwood,student0047@example.edu
"Vance, Val",11,Yeboah,student0444@example.edu
"Ellison, Tatum",11,Zellner,student0048@example.edu
"Mendel, Noel",12,Esparza,student0248@example.edu
"Pemberton, Kai",9,Adair,student0211@example.edu
"Larkspur, Kip",9,Adair,student0269@example.edu
"Quintero, Ryder",9,Rundgren,student0158@example.edu
"Jarvis, Indie",12,Hartley,student0144@example.edu
"Zamora, Oakley",9,Hendrickx,student0049@example.edu
"Dunmore, Fallon",11,Tanaka,student0484@example.edu
"Everhart, Remy",11,Yeboah,student0292@example.edu
"Corbin, Oakley",9,Jorstad,student0564@example.edu
"Fenwick, Fallon",11,Bianchi,student0362@example.edu
"Ashford, Elliot",12,Esparza,student0050@example.edu
"Ashford, Sawyer",9,Ziegler,student0293@example.edu
"Grimshaw, Reese",10,Whitcomb,student0337@example.edu
"Quintero, Quincy",10,Whitcomb,student0125@example.edu
"Okafor, Lior",10,Dumont,student0545@example.edu
"Marchetti, Sage",11,Yeboah,student0546@example.edu
"Everhart, Corin",9,Jorstad,student0051@example.edu
"Radcliffe, Jamie",12,Novak,student0488@example.edu
"Farraday, Lennox",9,Jorstad,student0515@example.edu
"Jarvis, Sage",12,Weatherby,student0324@example.edu
"Renwick, Greer",11,Sabbagh,student0325@example.edu
"Ulloa, Noel",9,Quezada,student0553@example.edu
"Falkner, Bellamy",12,Weatherby,student0129@example.edu
"Osei, Eden",10,Beaulieu,student0294@example.edu
"Ellison, Marlowe",12,Weatherby,student0486@example.edu
"Delgado, Ira",9,Rundgren,student0363@example.edu
"Winslow, Bellamy",12,Ziegler,student0533@example.edu
"Vasquez, Harper",10,Quezada,student0271@example.edu
"Ibarra, Skyler",9,Yost,student0097@example.edu
"Okafor, Emerson",9,Yost,student0445@example.edu
"Mendel, Sage",11,Yeboah,student0052@example.edu
"Quintero, Corin",9,Rundgren,student0295@example.edu
"Ibarra, Sawyer",10,Jelinek,student0197@example.edu
"Ibarra, Kendall",10,Lindgren,student0547@example.edu
"Iversen, Frankie",11,Zellner,student0227@example.edu
"Radcliffe, Frankie",11,Kalman,student0487@example.edu
"Pemberton, Rowan",9,Underwood,student0098@example.edu
"Emerling, Jamie",11,Sabbagh,student0397@example.edu
"Delgado, Reese",12,Rundgren,student0485@example.edu
"Iversen, Ellis",9,Rundgren,student0188@example.edu
"Prentice, Lennox",9,Rundgren,student0126@example.edu
"Sorensen, Ira",12,Yost,student0398@example.edu
"Bellweather, Jael",9,Underwood,student0364@example.edu
"Xander, Jordan",10,Underwood,student0319@example.edu
"Quill, Sawyer",12,Weatherby,student0326@example.edu
"Fenwick, Oakley",10,Underwood,student0099@example.edu
"Bellweather, Haven",11,Yeboah,student0127@example.edu
"Kirkland, Remy",11,Beaulieu,student0186@example.edu
"Vasquez, Marlowe",10,Underwood,student0224@example.edu
"Dunmore, Ellis",12,Whitcomb,student0268@example.edu
"Corbin, Rowan",12,Ziegler,student0187@example.edu
"Mendel, Jordan",11,Zellner,student0100@example.edu
"Grover, Micah",12,Weatherby,student0163@example.edu
"Dunmore, Ira",11,Kalman,student0327@example.edu
"Croft, Dallas",12,Dumont,student0525@example.edu
"Abernathy, Devon",10,Weatherby,student0053@example.edu
"Ibarra, Dallas",10,Weatherby,student0054@example.edu
"Emerling, Indie",10,Zellner,student0365@example.edu
"Gallo, Elliot",9,Esparza,student0249@example.edu
"Jacoby, Sage",9,Weatherby,student0516@example.edu
"Quill, Toby",10,Whitcomb,student0228@example.edu
"Fenwick, Adrian",11,Adair,student0489@example.edu
"Kirkland, Quinn",9,Weatherby,student0273@example.edu
"Vance, Noel",9,Underwood,student0446@example.edu
"Ibarra, Kip",10,Ishida,student0366@example.edu
"Dashwood, Kai",11,Beaulieu,student0492@example.edu
"Hutton, Lennox",10,Whitcomb,student0447@example.edu
"Winslow, Micah",10,Fournier,student0517@example.edu
"Sorensen, Fallon",10,Yost,student0229@example.edu
"Delgado, Oakley",10,Kalman,student0159@example.edu
"Marchetti, Casey",11,Dumont,student0128@example.edu
"Abernathy, Reese",9,Underwood,student0055@example.edu
"Gallo, Blair",11,Beaulieu,student0296@example.edu
"Prentice, Greer",12,Weatherby,student0056@example.edu
"Corbin, Lennox",12,Ziegler,student0160@example.edu
"Prentice, Indie",11,Quezada,student0534@example.edu
"Renwick, Jael",10,Yost,student0057@example.edu
"Osei, Haven",10,Kalman,student0418@example.edu
"Norwood, Casey",11,Beaulieu,student0490@example.edu
"Norwood, Kai",12,Dumont,student0058@example.edu
"Grover, Skyler",11,Beaulieu,student0298@example.edu
"Holloway, Kendall",10,Fitzhenry,student0565@example.edu
"Quill, Casey",9,Esparza,student0212@example.edu
"Underhill, Jael",10,Yost,student0250@example.edu
"Jarvis, Marlowe",12,Dumont,student0491@example.edu
"Bellweather, Marlowe",11,Fournier,student0213@example.edu
"Larkspur, Reese",10,Hartley,student0230@example.edu
"Pemberton, Indie",12,Sabbagh,student0060@example.edu
"Yates, Haven",12,Ziegler,student0061@example.edu
"Sterling, Jamie",9,Hendrickx,student0101@example.edu
"Farraday, Reese",12,Gagnon,student0299@example.edu
"Nakamura, Marlowe",11,Espinoza,student0554@example.edu
"Jansen, Ellis",9,Dumont,student0231@example.edu
"Everhart, Kai",9,Dumont,student0198@example.edu
"Winslow, Kendall",11,Fournier,student0448@example.edu
"Everhart, Haven",9,Weatherby,student0328@example.edu
"Falkner, Indie",12,Fitzhenry,student0214@example.edu
"Kirkland, Ellis",12,Bianchi,student0199@example.edu
"Zamora, Ellis",10,Yost,student0132@example.edu
"Alden, Jordan",12,Dumont,student0130@example.edu
"Bellweather, Ira",12,Fitzhenry,student0063@example.edu
"Prentice, Dakota",9,Kalman,student0274@example.edu
"Croft, Casey",12,Fitzhenry,student0369@example.edu
"Delgado, Kendall",10,Fitzhenry,student0329@example.edu
"Yates, Kip",11,Esparza,student0509@example.edu
"Winslow, Marlowe",11,Yost,student0449@example.edu
"Okafor, Quincy",11,Quezada,student0116@example.edu
"Fenwick, Harper",12,Fitzhenry,student0064@example.edu
"Sorensen, Haven",9,Dumont,student0215@example.edu
"Zamora, Dallas",9,Esparza,student0419@example.edu
"Bellweather, Lennox",12,Whitcomb,student0330@example.edu
"Iversen, Devon",9,Esparza,student0399@example.edu
"Nakamura, Haven",10,Kalman,student0300@example.edu
"Hollis, Greer",10,Kalman,student0065@example.edu
"Lindqvist, Presley",9,Esparza,student0400@example.edu
"Quintero, Bellamy",12,Whitcomb,student0413@example.edu
"Larkspur, Harper",10,Kalman,student0498@example.edu
"Vasquez, Noel",11,Esparza,student0131@example.edu
"Gallo, Rowan",12,Guerra,student0020@example.edu
"Iversen, Remy",10,Langford,student0331@example.edu
"Emerling, Ira",12,Fitzhenry,student0403@example.edu
"Vance, Toby",12,Guerra,student0301@example.edu
"Castillo, Dakota",10,Langford,student0401@example.edu
"Radcliffe, Bellamy",10,Langford,student0189@example.edu
"Kirkland, Noel",11,Quezada,student0422@example.edu
"Abernathy, Quinn",11,Quezada,student0371@example.edu
"Kirkland, Fallon",9,Dumont,student0555@example.edu
"Prentice, Toby",10,Ishida,student0332@example.edu
"Kirkland, Greer",10,Langford,student0333@example.edu
"Dunmore, Lior",10,Abbott,student0216@example.edu
"Corbin, Eden",12,Rundgren,student0190@example.edu
"Whitfield, Cameron",10,Gorski,student0193@example.edu
"Ellison, Quincy",11,Underwood,student0232@example.edu
"Hollis, Ryder",9,Fitzhenry,student0535@example.edu
"Jarvis, Shiloh",9,Rundgren,student0551@example.edu
"Jansen, Sawyer",10,Ishida,student0066@example.edu
"Quill, Elliot",11,Esparza,student0067@example.edu
"Falkner, Harper",10,Fitzhenry,student0161@example.edu
"Osei, Kai",12,Guerra,student0402@example.edu
"Fenwick, Toby",12,Guerra,student0548@example.edu
"Ellison, Dakota",12,Guerra,student0518@example.edu
"Larkspur, Dakota",10,Esparza,student0549@example.edu
"Ellison, Emerson",11,Weatherby,student0102@example.edu
"Jansen, Micah",10,Langford,student0322@example.edu
"Quill, Ellis",10,Hendrickx,student0068@example.edu
"Jacoby, Kip",11,Bianchi,student0106@example.edu
"Yates, Kendall",12,Hendrickx,student0233@example.edu
"Ashford, Dakota",9,Dumont,student0334@example.edu
"Radcliffe, Ira",11,Weatherby,student0200@example.edu
"Grover, Bellamy",12,Hendrickx,student0251@example.edu
"Emerling, Elliot",12,Ishida,student0191@example.edu
"Prentice, Quinn",11,Esparza,student0450@example.edu
"Yalow, Sawyer",9,Guerra,student0335@example.edu
"Hutton, Kai",12,Hendrickx,student0519@example.edu
"Ashford, Frankie",11,Weatherby,student0493@example.edu
"Tremaine, Sage",10,Jelinek,student0556@example.edu
"Gallo, Presley",9,Guerra,student0069@example.edu
"Hollis, Sage",10,Hendrickx,student0302@example.edu
"Renwick, Jamie",11,Fitzhenry,student0234@example.edu
"Bellweather, Toby",11,Underwood,student0373@example.edu
"Falkner, Sage",11,Quezada,student0451@example.edu
"Gallo, Kendall",12,Ishida,student0494@example.edu
"Vance, Devon",11,Fitzhenry,student0070@example.edu
"Jarvis, Cameron",9,Guerra,student0452@example.edu
"Xander, Skyler",10,Espinoza,student0495@example.edu
"Dunmore, Greer",9,Ishida,student0496@example.edu
"Croft, Presley",12,Ishida,student0275@example.edu
"Yates, Emerson",11,Weatherby,student0502@example.edu
"Ulloa, Kendall",9,Ishida,student0497@example.edu
"Zamora, Jordan",9,Ishida,student0520@example.edu
"Tremaine, Oakley",11,Fitzhenry,student0423@example.edu
"Farraday, Ira",10,Hendrickx,student0192@example.edu
"Holloway, Sage",10,Voss,student0133@example.edu
